C:\Users\Polar\miniconda3\envs\highway\lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
Zooming DQN on racetrack-v0  init_depth=3  max_depth=6  seed=42  steps=600000
[   5000/600000]  ep= 285  reward(last50)=  39.97  n_actions=8  total_splits=0
[ 360000/600000]  ep=9268  reward(last50)= 232.09  n_actions=64  total_splits=56
[ 365000/600000]  ep=9282  reward(last50)= 251.99  n_actions=64  total_splits=56
[ 370000/600000]  ep=9293  reward(last50)= 303.72  n_actions=64  total_splits=56
[ 375000/600000]  ep=9308  reward(last50)= 291.80  n_actions=64  total_splits=56
[ 380000/600000]  ep=9319  reward(last50)= 344.08  n_actions=64  total_splits=56
[ 385000/600000]  ep=9326  reward(last50)= 421.20  n_actions=64  total_splits=56
[ 390000/600000]  ep=9342  reward(last50)= 363.02  n_actions=64  total_splits=56
[ 395000/600000]  ep=9358  reward(last50)= 370.02  n_actions=64  total_splits=56
[ 400000/600000]  ep=9366  reward(last50)= 412.19  n_actions=64  total_splits=56
[ 405000/600000]  ep=9382  reward(last50)= 327.56  n_actions=64  total_splits=56
[ 410000/600000]  ep=9390  reward(last50)= 352.01  n_actions=64  total_splits=56
[ 415000/600000]  ep=9400  reward(last50)= 429.37  n_actions=64  total_splits=56
[ 420000/600000]  ep=9409  reward(last50)= 428.14  n_actions=64  total_splits=56
[ 425000/600000]  ep=9423  reward(last50)= 398.43  n_actions=64  total_splits=56
[ 430000/600000]  ep=9438  reward(last50)= 408.15  n_actions=64  total_splits=56
[ 435000/600000]  ep=9445  reward(last50)= 412.62  n_actions=64  total_splits=56
[ 440000/600000]  ep=9453  reward(last50)= 418.21  n_actions=64  total_splits=56
[ 445000/600000]  ep=9462  reward(last50)= 447.85  n_actions=64  total_splits=56
[ 450000/600000]  ep=9473  reward(last50)= 466.16  n_actions=64  total_splits=56
