C:\Users\Polar\miniconda3\envs\highway\lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
Uniform DQN on racetrack-v0  N=64  seed=42  steps=600000
[ 365000/600000]  ep=19032  reward(last50)= 347.51  n_actions=64  total_splits=0
[ 370000/600000]  ep=19050  reward(last50)= 331.71  n_actions=64  total_splits=0
[ 375000/600000]  ep=19065  reward(last50)= 309.04  n_actions=64  total_splits=0
[ 380000/600000]  ep=19078  reward(last50)= 289.14  n_actions=64  total_splits=0
[ 385000/600000]  ep=19097  reward(last50)= 277.07  n_actions=64  total_splits=0
[ 390000/600000]  ep=19108  reward(last50)= 297.57  n_actions=64  total_splits=0
[ 395000/600000]  ep=19116  reward(last50)= 325.82  n_actions=64  total_splits=0
[ 400000/600000]  ep=19130  reward(last50)= 336.50  n_actions=64  total_splits=0
[ 405000/600000]  ep=19141  reward(last50)= 380.11  n_actions=64  total_splits=0
[ 410000/600000]  ep=19164  reward(last50)= 313.54  n_actions=64  total_splits=0
[ 415000/600000]  ep=19176  reward(last50)= 293.56  n_actions=64  total_splits=0
[ 420000/600000]  ep=19192  reward(last50)= 255.57  n_actions=64  total_splits=0
[ 425000/600000]  ep=19203  reward(last50)= 333.18  n_actions=64  total_splits=0
[ 430000/600000]  ep=19213  reward(last50)= 362.77  n_actions=64  total_splits=0
[ 435000/600000]  ep=19223  reward(last50)= 380.48  n_actions=64  total_splits=0
[ 440000/600000]  ep=19241  reward(last50)= 370.21  n_actions=64  total_splits=0
[ 445000/600000]  ep=19259  reward(last50)= 307.52  n_actions=64  total_splits=0
[ 450000/600000]  ep=19267  reward(last50)= 297.36  n_actions=64  total_splits=0
[ 455000/600000]  ep=19279  reward(last50)= 336.56  n_actions=64  total_splits=0
[ 460000/600000]  ep=19293  reward(last50)= 294.87  n_actions=64  total_splits=0
[ 465000/600000]  ep=19307  reward(last50)= 365.70  n_actions=64  total_splits=0
[ 470000/600000]  ep=19319  reward(last50)= 325.90  n_actions=64  total_splits=0
[ 475000/600000]  ep=19337  reward(last50)= 314.15  n_actions=64  total_splits=0
[ 480000/600000]  ep=19350  reward(last50)= 320.01  n_actions=64  total_splits=0
[ 485000/600000]  ep=19365  reward(last50)= 313.86  n_actions=64  total_splits=0
[ 490000/600000]  ep=19374  reward(last50)= 337.88  n_actions=64  total_splits=0
[ 495000/600000]  ep=19386  reward(last50)= 355.09  n_actions=64  total_splits=0
[ 500000/600000]  ep=19402  reward(last50)= 352.10  n_actions=64  total_splits=0
[ 505000/600000]  ep=19417  reward(last50)= 330.54  n_actions=64  total_splits=0
[ 510000/600000]  ep=19433  reward(last50)= 290.09  n_actions=64  total_splits=0
[ 515000/600000]  ep=19441  reward(last50)= 320.18  n_actions=64  total_splits=0
[ 520000/600000]  ep=19455  reward(last50)= 328.59  n_actions=64  total_splits=0
[ 525000/600000]  ep=19465  reward(last50)= 369.38  n_actions=64  total_splits=0
[ 530000/600000]  ep=19475  reward(last50)= 393.37  n_actions=64  total_splits=0
[ 535000/600000]  ep=19491  reward(last50)= 343.92  n_actions=64  total_splits=0
[ 540000/600000]  ep=19501  reward(last50)= 371.46  n_actions=64  total_splits=0
[ 545000/600000]  ep=19508  reward(last50)= 411.00  n_actions=64  total_splits=0
[ 550000/600000]  ep=19517  reward(last50)= 391.41  n_actions=64  total_splits=0
[ 555000/600000]  ep=19543  reward(last50)= 344.28  n_actions=64  total_splits=0
[ 560000/600000]  ep=19554  reward(last50)= 319.90  n_actions=64  total_splits=0
[ 565000/600000]  ep=19568  reward(last50)= 232.73  n_actions=64  total_splits=0
[ 570000/600000]  ep=19578  reward(last50)= 297.29  n_actions=64  total_splits=0
[ 575000/600000]  ep=19586  reward(last50)= 385.32  n_actions=64  total_splits=0
[ 580000/600000]  ep=19595  reward(last50)= 420.88  n_actions=64  total_splits=0
[ 585000/600000]  ep=19612  reward(last50)= 407.30  n_actions=64  total_splits=0
[ 590000/600000]  ep=19622  reward(last50)= 390.82  n_actions=64  total_splits=0
[ 595000/600000]  ep=19631  reward(last50)= 415.40  n_actions=64  total_splits=0
[ 600000/600000]  ep=19636  reward(last50)= 437.86  n_actions=64  total_splits=0
Saved DQN checkpoint to checkpoints\highway\timestep_sweep\uniform_n64_seed42.pt

Evaluating (deterministic)...
Eval(20): mean=417.82  std=578.31
